Island,Line,Start-X,Start-Y,End-X,End-Y,Z,
0,0,1.00,3.60,5.50,6.20,0,
0,1,5.50,6.20,8.85,3.60,0,
0,2,8.85,3.60,5.50,1.00,0,
0,3,5.50,1.00,1.00,3.60,0,
0,0,1.50,3.60,5.25,5.77,0.5,
0,1,5.25,5.77,8.04,3.60,0.5,
0,2,8.04,3.60,5.25,1.43,0.5,
0,3,5.25,1.43,1.50,3.60,0.5,
0,0,2.00,3.60,5.00,5.33,1,
0,1,5.00,5.33,7.23,3.60,1,
0,2,7.23,3.60,5.00,1.87,1,
0,3,5.00,1.87,2.00,3.60,1,
0,0,2.50,3.60,4.75,4.90,1.5,
0,1,4.75,4.90,6.42,3.60,1.5,
0,2,6.42,3.60,4.75,2.30,1.5,
0,3,4.75,2.30,2.50,3.60,1.5,
0,0,3.00,3.60,4.50,4.47,2,
0,1,4.50,4.47,5.62,3.60,2,
0,2,5.62,3.60,4.50,2.73,2,
0,3,4.50,2.73,3.00,3.60,2,
0,0,3.50,3.60,4.25,4.03,2.5,
0,1,4.25,4.03,4.81,3.60,2.5,
0,2,4.81,3.60,4.25,3.17,2.5,
0,3,4.25,3.17,3.50,3.60,2.5,
